Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
195		0.0086		0.0075		0.0000		0.5025		0.00013007
196		0.0084		0.0074		0.0000		0.5028		0.00012798
197		0.0085		0.0072		0.0000		0.5075		0.00012589
198		0.0086		0.0071		0.0000		0.5098		0.00012379
199		0.0084		0.0077		0.0000		0.5045		0.00012168
200		0.0083		0.0073		0.0000		0.5018		0.00011957
201		0.0083		0.0071		0.0000		0.5092		0.00011746
202		0.0083		0.0070		0.0000		0.5097		0.00011535
203		0.0083		0.0070		0.0000		0.5157		0.00011322
204		0.0082		0.0074		0.0000		0.5073		0.00011110
205		0.0083		0.0073		0.0000		0.5117		0.00010897
206		0.0083		0.0071		0.0000		0.5111		0.00010684
207		0.0083		0.0071		0.0000		0.5161		0.00010470
208		0.0083		0.0070		0.0000		0.5075		0.00010255
209		0.0082		0.0071		0.0000		0.5053		0.00010040
210		0.0081		0.0069		0.0000		0.5093		0.00009825
211		0.0081		0.0070		0.0000		0.5129		0.00009609
212		0.0083		0.0072		0.0000		0.5010		0.00009393
213		0.0081		0.0068		0.0000		0.5147		0.00009175
214		0.0081		0.0067		0.0000		0.5151		0.00008958
215		0.0080		0.0068		0.0000		0.5166		0.00008740
216		0.0081		0.0067		0.0000		0.5132		0.00008521
217		0.0079		0.0068		0.0000		0.5147		0.00008301
218		0.0080		0.0066		0.0000		0.5205		0.00008081
219		0.0079		0.0067		0.0000		0.5158		0.00007861
220		0.0080		0.0068		0.0000		0.5125		0.00007639
221		0.0078		0.0066		0.0000		0.5186		0.00007417
222		0.0078		0.0070		0.0000		0.5119		0.00007194
223		0.0078		0.0065		0.0000		0.5254		0.00006971
224		0.0078		0.0066		0.0000		0.5192		0.00006746
225		0.0078		0.0065		0.0000		0.5243		0.00006521
226		0.0076		0.0065		0.0000		0.5209		0.00006295
227		0.0078		0.0065		0.0000		0.5206		0.00006068
228		0.0077		0.0065		0.0000		0.5220		0.00005840
229		0.0077		0.0064		0.0000		0.5251		0.00005611
230		0.0076		0.0065		0.0000		0.5246		0.00005380
231		0.0075		0.0063		0.0000		0.5254		0.00005149
232		0.0075		0.0063		0.0000		0.5265		0.00004917
233		0.0075		0.0063		0.0000		0.5282		0.00004683
234		0.0075		0.0063		0.0000		0.5270		0.00004449
235		0.0075		0.0062		0.0000		0.5276		0.00004212
236		0.0076		0.0063		0.0000		0.5276		0.00003975
237		0.0075		0.0062		0.0000		0.5287		0.00003735
238		0.0075		0.0062		0.0000		0.5288		0.00003494
239		0.0075		0.0061		0.0000		0.5298		0.00003252
240		0.0074		0.0062		0.0000		0.5297		0.00003007
241		0.0074		0.0062		0.0000		0.5275		0.00002759
242		0.0076		0.0061		0.0000		0.5301		0.00002510
243		0.0075		0.0062		0.0000		0.5292		0.00002257
244		0.0073		0.0061		0.0000		0.5299		0.00002002
245		0.0075		0.0060		0.0000		0.5310		0.00001742
246		0.0073		0.0061		0.0000		0.5305		0.00001479
247		0.0073		0.0060		0.0000		0.5312		0.00001210
248		0.0073		0.0061		0.0000		0.5329		0.00000934
249		0.0072		0.0060		0.0000		0.5324		0.00000648
250		0.0073		0.0060		0.0000		0.5324		0.00000347
