Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
186		0.0073		0.0066		0.0000		0.5164		0.00014875
187		0.0074		0.0065		0.0000		0.5191		0.00014669
188		0.0073		0.0065		0.0000		0.5173		0.00014462
189		0.0076		0.0062		0.0000		0.5277		0.00014255
190		0.0072		0.0062		0.0000		0.5290		0.00014048
191		0.0074		0.0061		0.0000		0.5294		0.00013841
192		0.0073		0.0063		0.0000		0.5251		0.00013633
193		0.0071		0.0061		0.0000		0.5307		0.00013425
194		0.0074		0.0061		0.0000		0.5258		0.00013216
195		0.0071		0.0061		0.0000		0.5245		0.00013007
196		0.0071		0.0063		0.0000		0.5241		0.00012798
197		0.0072		0.0060		0.0000		0.5318		0.00012589
198		0.0071		0.0061		0.0000		0.5337		0.00012379
199		0.0070		0.0059		0.0000		0.5321		0.00012168
200		0.0070		0.0059		0.0000		0.5278		0.00011957
201		0.0070		0.0058		0.0000		0.5365		0.00011746
202		0.0071		0.0066		0.0000		0.5236		0.00011535
203		0.0072		0.0063		0.0000		0.5220		0.00011322
204		0.0069		0.0060		0.0000		0.5297		0.00011110
205		0.0070		0.0059		0.0000		0.5343		0.00010897
206		0.0069		0.0057		0.0000		0.5396		0.00010684
207		0.0067		0.0059		0.0000		0.5329		0.00010470
208		0.0068		0.0056		0.0000		0.5378		0.00010255
209		0.0070		0.0059		0.0000		0.5367		0.00010040
210		0.0069		0.0058		0.0000		0.5365		0.00009825
211		0.0069		0.0059		0.0000		0.5350		0.00009609
212		0.0069		0.0057		0.0000		0.5361		0.00009393
213		0.0068		0.0058		0.0000		0.5342		0.00009175
214		0.0067		0.0057		0.0000		0.5381		0.00008958
215		0.0067		0.0057		0.0000		0.5373		0.00008740
216		0.0068		0.0056		0.0000		0.5378		0.00008521
217		0.0068		0.0055		0.0000		0.5445		0.00008301
218		0.0067		0.0055		0.0000		0.5395		0.00008081
219		0.0066		0.0054		0.0000		0.5415		0.00007861
220		0.0066		0.0057		0.0000		0.5380		0.00007639
221		0.0065		0.0055		0.0000		0.5407		0.00007417
222		0.0066		0.0054		0.0000		0.5426		0.00007194
223		0.0065		0.0055		0.0000		0.5431		0.00006971
224		0.0065		0.0054		0.0000		0.5428		0.00006746
225		0.0066		0.0055		0.0000		0.5421		0.00006521
226		0.0065		0.0055		0.0000		0.5437		0.00006295
227		0.0065		0.0054		0.0000		0.5418		0.00006068
228		0.0065		0.0053		0.0000		0.5479		0.00005840
229		0.0065		0.0055		0.0000		0.5442		0.00005611
230		0.0064		0.0053		0.0000		0.5450		0.00005380
231		0.0064		0.0053		0.0000		0.5445		0.00005149
232		0.0063		0.0052		0.0000		0.5487		0.00004917
233		0.0063		0.0053		0.0000		0.5464		0.00004683
234		0.0064		0.0052		0.0000		0.5488		0.00004449
235		0.0062		0.0052		0.0000		0.5480		0.00004212
236		0.0063		0.0052		0.0000		0.5467		0.00003975
237		0.0062		0.0052		0.0000		0.5485		0.00003735
238		0.0062		0.0052		0.0000		0.5477		0.00003494
239		0.0062		0.0051		0.0000		0.5485		0.00003252
240		0.0062		0.0052		0.0000		0.5492		0.00003007
241		0.0062		0.0051		0.0000		0.5494		0.00002759
242		0.0062		0.0051		0.0000		0.5499		0.00002510
243		0.0061		0.0051		0.0000		0.5504		0.00002257
244		0.0061		0.0051		0.0000		0.5508		0.00002002
245		0.0061		0.0051		0.0000		0.5501		0.00001742
246		0.0062		0.0051		0.0000		0.5507		0.00001479
247		0.0061		0.0050		0.0000		0.5515		0.00001210
248		0.0061		0.0050		0.0000		0.5512		0.00000934
249		0.0060		0.0050		0.0000		0.5525		0.00000648
250		0.0061		0.0050		0.0000		0.5506		0.00000347
